country,rank,feature,shap_value,feature_value
Greece,3,avg_bloc_tele_3yr,0.3859320282936096,53.166666666666664
Greece,4,Qualification_Record,0.3803373873233795,0.857142857
Greece,5,rule_2019_semifinal_reform,0.3797265589237213,1.0
Israel,1,rule_2023_jury_weight_reform,0.8192729353904724,1.0
Israel,2,implied_prob_close,-0.7762777805328369,0.007749
Israel,3,avg_jury_3yr,0.48620590567588806,268.3333333333333
Israel,4,zscore_myesb_community,-0.3937816023826599,0.3903600291794133
Israel,5,rule_2019_semifinal_reform,0.31024783849716187,1.0
Italy,1,rule_2023_jury_weight_reform,0.9465263485908508,1.0
Italy,2,implied_prob_close,-0.77727872133255,0.007749
Italy,3,avg_tele_3yr,0.3869660496711731,166.33333333333334
Italy,4,rule_2019_semifinal_reform,0.3465452492237091,1.0
Italy,5,avg_bloc_tele_3yr,0.24576564133167267,84.55
Latvia,1,rule_2023_jury_weight_reform,0.827573835849762,1.0
Latvia,2,implied_prob_close,-0.7132803797721863,0.007749
Latvia,3,Qualification_Record,-0.57261723279953,0.380952381
Latvia,4,avg_bloc_tele_3yr,0.32767561078071594,80.11764705882354
Latvia,5,zscore_myesb_community,-0.2905932664871216,0.8783100656536799
Lithuania,1,implied_prob_close,-0.89143306016922,0.007749
Lithuania,2,rule_2023_jury_weight_reform,0.456907719373703,1.0
Lithuania,3,avg_tele_3yr,-0.3979663550853729,49.0
Lithuania,4,zscore_myesb_community,-0.36122411489486694,1.0734900802433864
Lithuania,5,avg_jury_3yr,-0.219686359167099,55.333333333333336
Luxembourg,1,implied_prob_close,-0.7058853507041931,0.007749
Luxembourg,2,avg_tele_3yr,-0.40647003054618835,53.0
Luxembourg,3,rule_2023_jury_weight_reform,0.3663933575153351,1.0
Luxembourg,4,zscore_myesb_community,-0.34219250082969666,0.7807200583588266
Luxembourg,5,Qualification_Record,0.33739998936653137,1.0
Malta,1,implied_prob_close,-0.7965619564056396,0.007749
Malta,2,rule_2023_jury_weight_reform,0.7249771356582642,1.0
Malta,3,rule_2019_semifinal_reform,0.29906171560287476,1.0
Malta,4,avg_tele_3yr,0.20419582724571228,126.0
Malta,5,Running_Order_Final,0.1976558119058609,14.0
Moldova,1,implied_prob_close,-0.8800402283668518,0.007749
Moldova,2,rule_2023_jury_weight_reform,0.5331239700317383,1.0
Moldova,3,zscore_myesb_personal,-0.3815966546535492,-1.3662601021279466
Moldova,4,avg_tele_3yr,-0.3315275311470032,29.0
Moldova,5,avg_bloc_tele_3yr,0.33030784130096436,57.8
Montenegro,1,rule_2023_jury_weight_reform,0.9321085810661316,1.0
Montenegro,2,implied_prob_close,-0.8161294460296631,0.007749
Montenegro,3,Qualification_Record,-0.6536309719085693,0.153846154
Montenegro,4,avg_bloc_tele_3yr,0.33349254727363586,58.125
Montenegro,5,rule_2019_semifinal_reform,0.2864867150783539,1.0
Norway,1,implied_prob_close,-0.7668206095695496,0.007749
Norway,2,rule_2023_jury_weight_reform,0.4817025363445282,1.0
Norway,3,Qualification_Record,0.38940709829330444,0.857142857
Norway,4,avg_tele_3yr,-0.3758540749549866,28.666666666666668
Norway,5,zscore_myesb_community,-0.3630819022655487,0.6831300510639733
Poland,1,implied_prob_close,-0.8781868815422058,0.007749
Poland,2,rule_2023_jury_weight_reform,0.507634699344635,1.0
Poland,3,zscore_myesb_community,-0.3473810851573944,1.2686700948330931
Poland,4,avg_tele_3yr,-0.3447501063346863,25.0
Poland,5,avg_bloc_tele_3yr,0.29977864027023315,70.0
Portugal,1,implied_prob_close,-0.7925790548324585,0.007749
Portugal,2,rule_2023_jury_weight_reform,0.5978493094444275,1.0
Portugal,3,zscore_myesb_community,-0.31274330615997314,1.4638501094227998
Portugal,4,avg_tele_3yr,0.23452076315879822,73.0
Portugal,5,avg_bloc_jury_3yr,0.2028370350599289,53.05
Romania,1,implied_prob_close,-0.8049152493476868,0.007749
Romania,2,rule_2023_jury_weight_reform,0.46568602323532104,1.0
Romania,3,zscore_myesb_personal,-0.3906724154949188,-1.5614401167176533
Romania,4,avg_tele_3yr,-0.3623078167438507,35.0
Romania,5,rule_2019_semifinal_reform,0.34370386600494385,1.0
San Marino,1,implied_prob_close,-0.7184167504310608,0.007749
San Marino,2,Qualification_Record,-0.5589843392372131,0.266666667
San Marino,3,avg_tele_3yr,-0.3391704261302948,19.333333333333332
San Marino,4,rule_2023_jury_weight_reform,0.32494622468948364,1.0
San Marino,5,zscore_myesb_community,-0.2431601881980896,1.5614401167176533
Serbia,1,implied_prob_close,-0.8620455861091614,0.007749
Serbia,2,rule_2023_jury_weight_reform,0.5001020431518555,1.0
Serbia,3,avg_tele_3yr,-0.36952337622642517,41.0
Serbia,4,rule_2019_semifinal_reform,0.32349738478660583,1.0
Serbia,5,avg_bloc_tele_3yr,0.28872212767601013,71.5
Sweden,1,rule_2023_jury_weight_reform,0.9454036951065063,1.0
Sweden,2,implied_prob_close,-0.6382346153259277,0.007749
Sweden,3,avg_jury_3yr,0.4657128155231476,162.33333333333334
Sweden,4,rule_2019_semifinal_reform,0.42711278796195984,1.0
Sweden,5,Qualification_Record,0.3755406141281128,0.952380952
Switzerland,1,rule_2023_jury_weight_reform,0.9308806657791138,1.0
Switzerland,2,implied_prob_close,-0.727271556854248,0.007749
Switzerland,3,avg_tele_3yr,0.3684045672416687,213.33333333333334
Switzerland,4,rule_2019_semifinal_reform,0.3185591995716095,1.0
Switzerland,5,avg_bloc_tele_3yr,0.2927021384239197,78.0
Ukraine,1,rule_2023_jury_weight_reform,0.8554382920265198,1.0
Ukraine,2,implied_prob_close,-0.5438007712364197,0.007749
Ukraine,3,avg_jury_3yr,0.44697779417037964,218.0
Ukraine,4,zscore_myesb_community,-0.42711159586906433,0.29277002188455997
Ukraine,5,rule_2019_semifinal_reform,0.3735286593437195,1.0
United Kingdom,1,implied_prob_close,-0.7165284752845764,0.007749
United Kingdom,2,zscore_myesb_personal,0.6623243689537048,1.5614401167176533
United Kingdom,3,avg_tele_3yr,-0.379665344953537,49.666666666666664
United Kingdom,4,zscore_myesb_community,-0.34595781564712524,0.4879500364742666
United Kingdom,5,rule_2023_jury_weight_reform,0.28894850611686707,1.0
