country,rank,feature,shap_value,feature_value
Israel,1,rule_2023_jury_weight_reform,1.2004400020321493,1.0
Israel,2,rule_2019_semifinal_reform,1.149222221478415,1.0
Israel,3,avg_jury_3yr,1.0256075158401565,268.3333333333333
Israel,4,implied_prob_close,-1.0169718078694738,0.007749
Israel,5,zscore_myesb_community,-0.7993989058538817,0.3903600291794133
Italy,1,rule_2019_semifinal_reform,1.2475675282699596,1.0
Italy,2,rule_2023_jury_weight_reform,1.1537651783033152,1.0
Italy,3,Running_Order_Final,1.0024767485357435,14.0
Italy,4,implied_prob_close,-0.8194806242480747,0.007749
Italy,5,avg_tele_3yr,0.7142307911661466,166.33333333333334
Latvia,1,implied_prob_close,-1.0155690370873673,0.007749
Latvia,2,Qualification_Record,-1.0026397770498274,0.380952381
Latvia,3,rule_2023_jury_weight_reform,0.9789915353844448,1.0
Latvia,4,rule_2019_semifinal_reform,0.8265751945883686,1.0
Latvia,5,Running_Order_Final,0.715143201938239,14.0
Lithuania,1,implied_prob_close,-1.3300538336955565,0.007749
Lithuania,2,rule_2019_semifinal_reform,0.9568597447661139,1.0
Lithuania,3,zscore_myesb_community,-0.7018430225005654,1.0734900802433864
Lithuania,4,rule_2023_jury_weight_reform,0.4675954712921907,1.0
Lithuania,5,avg_tele_3yr,-0.45788994591884713,49.0
Luxembourg,1,implied_prob_close,-1.3099184765823306,0.007749
Luxembourg,2,rule_2019_semifinal_reform,1.106566307561001,1.0
Luxembourg,3,Qualification_Record,0.8734120909075193,1.0
Luxembourg,4,zscore_myesb_community,-0.8033330077549101,0.7807200583588266
Luxembourg,5,avg_tele_3yr,-0.450482063236554,53.0
Malta,1,rule_2019_semifinal_reform,1.232410791449279,1.0
Malta,2,rule_2023_jury_weight_reform,1.0174176176054297,1.0
Malta,3,Running_Order_Final,0.9641699194290247,14.0
Malta,4,implied_prob_close,-0.769851008065798,0.007749
Malta,5,avg_tele_3yr,0.6460364995482636,126.0
Moldova,1,implied_prob_close,-1.1719963884718305,0.007749
Moldova,2,rule_2019_semifinal_reform,1.1575611870842732,1.0
Moldova,3,avg_tele_3yr,-0.5807703356575499,29.0
Moldova,4,Running_Order_Final,0.44637126786036085,14.0
Moldova,5,zscore_myesb_personal,-0.4386406031698868,-1.3662601021279466
Montenegro,1,Qualification_Record,-1.5664618728951962,0.153846154
Montenegro,2,implied_prob_close,-1.0684315559791195,0.007749
Montenegro,3,rule_2023_jury_weight_reform,1.0621432624785,1.0
Montenegro,4,rule_2019_semifinal_reform,0.878188328430679,1.0
Montenegro,5,Running_Order_Final,0.7236170757036179,14.0
Norway,1,implied_prob_close,-1.2504120945471953,0.007749
Norway,2,rule_2019_semifinal_reform,0.9145789304210142,1.0
Norway,3,avg_tele_3yr,-0.7517576872442515,28.666666666666668
Norway,4,Qualification_Record,0.7080798192854852,0.857142857
Norway,5,zscore_myesb_community,-0.6928803558687859,0.6831300510639733
Poland,1,implied_prob_close,-1.3911339136028196,0.007749
Poland,2,zscore_myesb_community,1.0610182153344987,1.2686700948330931
Poland,3,avg_tele_3yr,-0.8014868000254337,25.0
Poland,4,rule_2019_semifinal_reform,-0.5707621800896612,1.0
Poland,5,Running_Order_Final,0.4044429517326933,14.0
Portugal,1,implied_prob_close,-1.2037986206194056,0.007749
Portugal,2,zscore_myesb_community,1.1531623322358258,1.4638501094227998
Portugal,3,Running_Order_Final,0.7533910940339956,14.0
Portugal,4,rule_2023_jury_weight_reform,0.639442269518685,1.0
Portugal,5,avg_tele_3yr,0.5935052757819841,73.0
Romania,1,rule_2019_semifinal_reform,1.2638321598451039,1.0
Romania,2,implied_prob_close,-1.0281563990149487,0.007749
Romania,3,zscore_myesb_personal,-0.6681050482476988,-1.5614401167176533
Romania,4,avg_tele_3yr,-0.6012712485949235,35.0
Romania,5,avg_jury_3yr,0.5139931154943881,138.5
San Marino,1,zscore_myesb_community,1.4815046010260873,1.5614401167176533
San Marino,2,implied_prob_close,-1.4104133128019238,0.007749
San Marino,3,Qualification_Record,-1.0914346276344955,0.266666667
San Marino,4,avg_tele_3yr,-0.8077671391457069,19.333333333333332
San Marino,5,rule_2019_semifinal_reform,-0.6765724957385605,1.0
Serbia,1,rule_2019_semifinal_reform,1.255239114648993,1.0
Serbia,2,implied_prob_close,-1.1280024320523234,0.007749
Serbia,3,avg_tele_3yr,-0.7665107622102216,41.0
Serbia,4,rule_2023_jury_weight_reform,0.5618414736585859,1.0
Serbia,5,Solo_Artist,0.511949068009032,0.0
Sweden,1,rule_2019_semifinal_reform,1.5595278599448774,1.0
Sweden,2,rule_2023_jury_weight_reform,1.1804979159226243,1.0
Sweden,3,avg_jury_3yr,1.0497785220090854,162.33333333333334
Sweden,4,Qualification_Record,1.000306511394518,0.952380952
Sweden,5,avg_tele_3yr,0.4752476552551852,197.0
Switzerland,1,rule_2023_jury_weight_reform,1.261850455327243,1.0
Switzerland,2,rule_2019_semifinal_reform,1.2512807998800173,1.0
Switzerland,3,Running_Order_Final,1.0537363870465914,14.0
Switzerland,4,avg_tele_3yr,0.6878352289105061,213.33333333333334
Switzerland,5,implied_prob_close,-0.6628766374654675,0.007749
Ukraine,1,rule_2019_semifinal_reform,1.2518170826150525,1.0
Ukraine,2,avg_jury_3yr,1.0295372169007337,218.0
Ukraine,3,rule_2023_jury_weight_reform,0.9924791339353836,1.0
Ukraine,4,zscore_myesb_community,-0.8548544475574833,0.29277002188455997
Ukraine,5,Qualification_Record,0.4788949309133875,1.0
United Kingdom,1,implied_prob_close,-1.3611342212227278,0.007749
United Kingdom,2,rule_2019_semifinal_reform,1.2249071134483143,1.0
United Kingdom,3,zscore_myesb_personal,1.1720378148748865,1.5614401167176533
United Kingdom,4,avg_tele_3yr,-0.5187384090948485,49.666666666666664
United Kingdom,5,avg_jury_3yr,-0.4080793580681384,3.0
